PETROL (GHp/Lt),DIESEL (GHp/Lt),LPG (GHp/Kg),KEROSENE (GHp/Lt),MGO LOCAL (GHp/Lt)
494.0,494.0,524.72,460.0,455.0
494.0,494.0,497.89,460.0,455.0
494.0,494.0,474.28,460.0,455.0
496.21,496.21,535.07,460.0,455.0
516.5,514.5,535.07,460.0,455.0
493.9,493.9,535.07,460.0,455.0
493.9,493.9,535.07,460.0,455.0
517.83,515.38,535.07,460.0,455.0
517.83,515.38,41.75,460.0,455.0
494.0,494.0,41.75,428.0,455.0
494.0,494.0,484.0,428.0,455.0
492.0,504.63,484.0,428.0,455.0
492.0,504.63,495.22,428.0,455.0
492.0,504.63,484.92,428.0,455.0
454.43,509.63,478.03,428.0,414.88
495.33,498.5,478.03,410.0,414.88
494.0,503.0,478.03,410.0,414.88
475.0,475.0,478.03,410.0,414.88
475.0,475.0,492.44,410.0,414.88
475.0,475.0,515.65,410.0,414.88
475.0,475.0,515.65,410.0,414.88
475.0,475.0,513.88,410.0,414.88
493.9,493.9,471.78,410.0,414.88
470.38,511.38,471.78,410.0,414.88
466.96,514.13,471.78,410.0,414.88
510.0,531.63,518.9,410.0,414.88
510.38,533.38,518.9,410.0,414.88
468.38,526.38,518.9,410.0,414.88
492.0,492.0,518.9,410.0,414.88
493.0,493.0,518.9,410.0,414.88
493.0,493.0,417.83,410.0,414.88
493.0,493.0,499.73,410.0,414.88
526.26,530.59,499.73,410.0,414.88
489.8,540.07,476.68,478.77,414.88
489.8,540.07,472.35,478.77,414.88
467.0,514.13,472.35,478.77,414.88
490.63,553.63,520.9,488.63,453.43
454.0,504.0,520.9,488.63,453.43
459.45,463.52,482.89,488.63,453.43
510.0,510.0,482.89,488.63,453.43
487.0,487.0,465.78,488.63,453.43
512.33,554.43,645.78,494.5,453.43
494.0,494.0,645.78,494.5,453.43
488.92,530.89,645.78,430.09,430.69
490.0,493.0,645.78,430.09,430.69
501.5,501.5,527.0,430.09,430.69
453.96,513.96,514.9,430.09,430.69
490.74,528.63,514.9,430.09,430.69
492.0,493.9,501.4,430.09,430.69
485.0,490.0,501.4,430.09,430.69
446.5,484.5,501.4,430.09,430.69
494.0,506.0,501.4,430.09,430.69
494.1,497.5,411.99,430.09,430.69
499.73,497.5,411.99,430.09,430.69
491.74,528.63,411.99,430.09,430.69
491.74,528.63,502.48,430.09,430.69
470.2,524.2,502.48,430.09,430.69
470.2,524.2,502.48,430.09,430.69
453.96,513.96,514.9,430.09,430.69
489.07,505.07,514.9,430.09,430.69
514.5,522.5,514.9,430.09,430.69
444.66,484.66,514.9,430.09,430.69
470.04,529.29,479.93,430.09,430.69
488.96,492.96,479.93,430.09,430.69
494.0,492.0,479.93,430.09,430.69
494.0,492.0,508.79,430.09,430.69
494.0,492.0,482.78,430.09,430.69
500.0,510.0,600.0,491.0,430.69
500.0,510.0,518.17,491.0,430.69
500.0,510.0,498.0,491.0,430.69
492.96,494.96,498.0,491.0,430.69
492.96,494.96,512.89,491.0,430.69
476.0,480.0,480.8,491.0,430.69
476.0,480.0,501.0,491.0,430.69
492.0,492.0,501.0,491.0,430.69
500.0,500.0,501.0,491.0,430.69
500.0,500.0,491.98,491.0,430.69
500.0,500.0,493.77,491.0,430.69
495.38,523.38,493.77,448.63,430.69
530.83,528.63,493.77,448.63,430.69
530.83,528.63,512.42,448.63,430.69
506.5,509.5,512.42,464.5,430.69
444.48,499.82,512.42,464.5,430.69
444.48,499.82,495.99,464.5,430.69
505.0,513.0,495.99,464.5,430.69
505.0,513.0,504.78,464.5,430.69
493.0,493.0,524.28,464.5,430.69
490.74,528.63,524.28,464.5,430.69
503.36,513.29,485.35,464.5,413.09
510.0,510.0,500.0,420.0,405.0
500.0,505.0,495.0,420.0,435.0
499.96,509.96,495.0,420.0,435.0
517.63,522.63,495.0,420.0,435.0
517.63,522.63,513.65,420.0,435.0
517.63,522.63,472.35,420.0,435.0
517.63,522.63,520.06,420.0,435.0
485.0,489.03,498.26,420.0,435.0
535.63,552.63,498.26,420.0,435.0
495.45,463.52,482.89,420.0,435.0
511.0,511.0,482.89,420.0,435.0
492.0,512.05,519.93,420.0,435.0
500.18,527.13,519.93,420.0,426.93
500.0,500.0,519.93,420.0,426.93
500.0,500.0,521.0,420.0,426.93
500.0,500.0,515.65,420.0,426.93
490.94,528.63,515.65,420.0,426.93
494.0,525.44,531.83,439.84,425.24
494.0,525.44,494.0,439.84,425.24
498.5,520.5,511.78,468.63,448.71
525.64,549.29,511.78,455.64,448.71
502.96,506.96,511.78,455.64,406.76
495.0,495.0,495.08,455.64,406.76
495.0,495.0,464.78,455.64,406.76
463.38,521.38,464.78,455.64,406.76
494.0,494.0,470.0,460.0,455.0
494.0,494.0,498.72,460.0,455.0
494.0,494.0,509.89,460.0,455.0
494.0,494.0,484.28,460.0,455.0
494.61,511.61,544.07,460.0,455.0
493.9,493.9,544.07,460.0,455.0
494.21,494.64,544.07,460.0,455.0
511.83,510.38,544.07,460.0,455.0
511.83,510.38,495.75,460.0,455.0
494.0,494.0,495.75,428.5,455.0
494.0,494.0,497.0,428.5,455.0
493.0,524.63,497.0,428.5,455.0
493.0,524.63,495.22,428.5,455.0
493.0,524.63,497.29,428.5,455.0
494.5,498.5,497.29,428.5,455.0
491.0,500.0,497.29,428.5,455.0
495.0,500.0,497.29,428.5,455.0
495.0,500.0,523.24,428.5,455.0
495.0,500.0,548.65,428.5,455.0
495.0,500.0,533.53,428.5,455.0
495.0,500.0,533.88,428.5,455.0
493.9,493.9,489.78,428.5,455.0
475.38,531.38,489.78,428.5,455.0
475.38,531.38,526.92,428.5,455.0
500.13,524.49,526.92,428.5,455.0
511.5,531.5,531.78,428.5,455.0
492.0,493.0,531.78,428.5,455.0
520.38,553.38,531.78,428.5,455.0
478.88,544.88,531.78,428.5,455.0
488.5,486.5,531.78,428.5,455.0
492.0,492.0,531.78,428.5,455.0
493.0,493.0,531.78,428.5,455.0
493.0,493.0,460.83,428.5,455.0
493.0,493.0,514.73,428.5,455.0
494.0,541.44,514.73,428.5,455.0
497.1,559.85,482.86,438.37,455.0
497.1,559.85,482.35,438.37,455.0
497.1,559.85,513.23,438.37,455.0
500.13,524.49,513.23,438.37,455.0
485.35,550.11,519.9,493.63,455.0
467.46,575.46,519.9,493.63,455.0
508.46,536.48,504.58,493.63,455.0
510.0,510.0,504.58,493.63,455.0
510.0,510.0,526.92,493.63,455.0
487.0,487.0,465.8,493.63,455.0
532.68,580.34,645.78,494.5,455.0
489.0,489.0,645.78,494.5,455.0
473.5,529.5,645.78,493.5,493.3
490.0,493.0,645.78,493.5,493.3
530.5,530.5,560.0,493.5,493.3
460.96,533.96,514.9,493.5,493.3
514.35,567.11,514.9,493.5,493.3
492.0,531.05,525.85,493.5,493.3
492.0,531.05,526.92,493.5,493.3
490.0,500.0,526.92,493.5,493.3
434.5,474.5,526.92,493.5,493.3
499.0,517.0,526.92,493.5,493.3
497.1,514.0,526.92,493.5,434.49
520.5,539.5,526.92,493.5,434.49
521.35,567.11,526.92,493.5,434.49
521.35,567.11,512.48,493.5,434.49
468.2,532.2,512.48,493.5,434.49
460.96,533.96,512.48,493.5,434.49
474.57,510.57,499.85,493.5,434.49
514.5,522.5,499.85,493.5,434.49
445.46,492.66,499.85,493.5,434.49
477.38,540.14,479.93,493.5,434.49
508.0,508.0,479.93,493.5,434.49
495.96,516.96,479.93,493.5,434.49
495.96,516.96,531.79,493.5,434.49
495.96,516.96,497.78,493.5,434.49
500.0,510.0,600.0,491.0,434.49
500.0,510.0,554.65,491.0,434.49
500.0,510.0,500.0,491.0,434.49
497.96,497.96,500.0,491.0,434.49
497.96,497.96,525.89,491.0,434.49
476.0,480.0,480.8,491.0,434.49
476.0,480.0,540.0,491.0,434.49
492.0,492.0,540.0,491.0,434.49
500.0,500.0,540.0,491.0,434.49
500.0,500.0,510.78,491.0,434.49
500.0,500.0,511.27,491.0,434.49
493.38,523.38,511.27,448.63,434.49
518.63,518.63,511.27,448.63,434.49
518.63,518.63,541.42,448.63,434.49
518.63,518.63,541.42,448.63,434.49
502.5,514.5,541.42,464.5,434.49
502.5,514.5,470.94,464.5,434.49
494.0,494.0,470.94,464.5,434.49
494.0,494.0,523.99,464.5,434.49
492.0,492.0,523.99,464.5,434.49
514.5,532.5,523.99,464.5,434.49
514.5,532.5,509.78,464.5,434.49
493.0,540.5,518.28,464.5,434.49
469.8,531.44,518.28,464.5,434.49
514.35,567.11,518.28,464.5,434.49
492.0,492.0,505.0,399.0,403.0
520.0,520.0,540.0,440.0,405.0
513.0,513.0,513.0,440.0,435.0
517.63,522.63,513.0,440.0,435.0
517.63,522.63,558.65,440.0,435.0
517.63,522.63,508.35,440.0,435.0
485.0,488.73,491.29,440.0,435.0
505.63,562.63,491.29,440.0,435.0
508.46,536.48,504.58,440.0,435.0
510.0,510.0,504.58,440.0,435.0
492.0,492.0,509.93,440.0,435.0
510.18,537.13,509.93,440.0,426.93
500.0,500.0,509.93,440.0,426.93
500.0,500.0,515.65,440.0,426.93
514.35,567.11,515.65,440.0,426.93
495.0,520.25,533.5,441.66,430.05
494.0,494.0,533.5,441.66,430.05
501.5,505.5,515.78,468.63,445.71
525.64,559.64,515.78,455.64,445.71
536.63,530.63,548.89,455.64,445.71
494.96,514.96,548.89,455.64,426.26
495.0,495.0,495.0,455.64,426.26
504.0,504.0,505.0,460.0,455.0
504.0,504.0,498.72,460.0,455.0
504.0,504.0,522.89,460.0,455.0
504.0,504.0,494.28,460.0,455.0
493.61,539.61,544.07,460.0,455.0
493.9,493.9,544.07,460.0,455.0
529.83,534.38,544.07,460.0,455.0
529.83,534.38,512.75,460.0,455.0
518.5,558.5,512.75,463.5,455.0
518.5,558.5,510.68,463.5,455.0
518.5,558.5,517.0,463.5,455.0
518.5,558.5,526.02,463.5,455.0
518.5,558.5,540.75,463.5,455.0
473.0,537.0,540.75,463.5,455.0
495.59,558.32,540.03,463.5,473.57
507.5,529.5,540.03,463.5,473.57
516.0,516.0,540.03,463.5,473.57
516.0,516.0,555.44,463.5,473.57
516.0,516.0,571.65,463.5,473.57
516.0,516.0,565.53,463.5,473.57
516.0,516.0,568.88,463.5,473.57
516.0,516.0,536.78,463.5,473.57
420.5,549.38,536.78,463.5,473.57
420.5,549.38,561.22,463.5,473.57
523.13,575.05,561.22,463.5,473.57
554.63,563.63,576.9,463.5,473.57
517.9,517.9,576.9,463.5,473.57
508.88,573.88,576.9,463.5,473.57
488.5,486.5,576.9,463.5,473.57
513.0,516.0,576.9,463.5,473.57
493.0,493.0,576.9,463.5,473.57
493.0,493.0,474.83,463.5,473.57
493.0,493.0,554.73,463.5,473.57
516.0,520.0,554.73,463.5,473.57
516.0,520.0,522.35,463.5,473.57
516.0,520.0,553.23,463.5,473.57
523.16,575.05,553.23,463.5,473.57
535.63,583.63,560.9,518.63,483.43
500.0,560.0,560.9,518.63,483.43
509.65,581.33,504.58,518.63,483.43
500.0,500.0,504.58,518.63,483.43
500.0,500.0,561.22,518.63,483.43
516.5,516.5,534.45,518.63,483.43
536.9,574.0,635.78,494.5,483.43
492.0,492.0,635.78,494.5,483.43
516.53,578.86,635.78,494.5,483.43
490.0,493.0,635.78,494.5,483.43
530.5,570.5,585.0,494.5,483.43
494.96,555.96,514.9,494.5,483.43
538.55,587.55,514.9,494.5,483.43
538.55,587.55,561.22,494.5,483.43
505.0,515.0,561.22,494.5,483.43
439.5,509.5,561.22,494.5,483.43
523.11,540.49,561.22,494.5,483.43
530.1,545.0,561.22,494.5,465.49
538.55,587.78,561.22,494.5,465.49
538.55,587.78,557.48,494.5,465.49
476.2,536.2,557.48,494.5,465.49
494.96,555.96,514.9,494.5,465.49
489.57,544.57,514.9,494.5,465.49
522.5,542.5,514.9,494.5,465.49
453.66,507.66,514.9,494.5,465.49
508.69,569.02,530.93,494.5,465.49
554.0,554.0,530.93,494.5,465.49
510.96,540.96,530.93,494.5,465.49
510.96,540.96,539.78,494.5,465.49
500.0,510.0,600.0,491.0,465.49
500.0,510.0,573.65,491.0,465.49
497.96,554.96,573.65,491.0,465.49
497.96,554.96,562.89,491.0,465.49
500.0,500.0,543.1,491.0,465.49
500.0,500.0,554.0,491.0,465.49
492.0,492.0,538.78,491.0,418.3
500.0,500.0,538.78,491.0,418.3
500.0,500.0,576.0,491.0,418.3
500.0,500.0,540.77,491.0,418.3
513.38,573.38,540.77,448.63,418.3
516.0,516.0,540.77,448.63,418.3
516.0,516.0,565.42,448.63,418.3
524.5,544.5,565.42,448.63,418.3
524.5,544.5,470.94,448.63,418.3
518.0,518.0,470.94,448.63,418.3
524.11,524.11,470.94,448.63,418.3
524.11,524.11,553.99,448.63,418.3
452.0,454.0,553.99,448.63,418.3
522.5,532.5,553.99,448.63,418.3
522.5,532.5,559.78,448.63,418.3
510.0,517.0,538.28,448.63,418.3
520.5,520.5,538.28,448.63,418.3
538.55,587.78,538.28,448.63,418.3
516.0,516.0,547.0,440.0,434.0
550.0,550.0,560.0,450.0,415.0
533.0,533.0,548.0,450.0,455.0
502.96,568.96,548.0,450.0,455.0
517.63,558.63,548.0,450.0,455.0
517.63,558.63,568.65,450.0,455.0
517.63,558.63,532.35,450.0,455.0
517.63,558.63,567.06,450.0,455.0
515.03,515.41,543.0,450.0,455.0
563.63,602.63,543.0,450.0,455.0
509.65,581.33,504.58,450.0,455.0
510.0,510.0,504.58,450.0,455.0
508.0,552.5,529.93,450.0,455.0
512.0,530.0,529.93,450.0,455.0
512.0,530.0,574.0,450.0,455.0
538.55,587.78,574.0,450.0,455.0
495.0,535.42,552.34,494.92,445.22
518.0,518.0,552.34,494.92,445.22
516.0,516.0,563.78,493.63,471.71
518.64,613.64,563.78,455.64,471.71
508.63,563.63,562.89,455.64,471.71
529.96,542.96,562.89,455.64,454.26
518.0,518.0,534.0,455.64,454.26
518.0,518.0,525.78,455.64,454.26
520.0,520.0,500.0,460.0,455.0
520.0,520.0,586.72,460.0,455.0
520.0,520.0,562.89,460.0,455.0
520.0,520.0,534.78,460.0,455.0
493.61,523.61,534.07,460.0,455.0
524.63,536.38,534.07,460.0,455.0
524.63,536.38,552.75,460.0,455.0
518.0,518.0,552.75,458.0,455.0
518.0,518.0,543.78,458.0,455.0
527.63,585.63,543.78,458.0,455.0
527.63,585.63,520.22,458.0,455.0
527.63,585.63,561.49,458.0,455.0
488.0,489.0,561.49,458.0,455.0
540.56,607.14,560.03,458.0,522.39
528.74,528.5,560.03,458.0,522.39
535.0,550.0,560.03,458.0,522.39
535.0,550.0,560.03,458.0,522.39
535.0,550.0,560.03,458.0,522.39
535.0,550.0,593.65,458.0,522.39
535.0,550.0,609.03,458.0,522.39
535.0,550.0,568.88,458.0,522.39
516.0,516.0,536.78,458.0,522.39
529.38,589.38,536.78,458.0,522.39
529.38,589.38,586.92,458.0,522.39
535.01,585.01,586.92,458.0,522.39
590.0,620.63,608.9,458.0,522.39
519.0,582.0,608.9,458.0,522.39
533.38,573.38,608.9,458.0,522.39
528.88,590.88,608.9,458.0,522.39
504.5,515.0,608.9,458.0,522.39
504.5,515.0,608.9,458.0,522.39
516.0,516.0,608.9,458.0,522.39
516.0,516.0,473.83,458.0,522.39
516.0,516.0,579.73,458.0,522.39
516.0,531.0,579.73,458.0,522.39
528.6,590.16,472.86,438.37,522.39
528.6,590.16,570.35,438.37,522.39
528.6,590.16,601.23,438.37,522.39
535.01,585.01,601.23,438.37,522.39
541.63,603.03,590.9,518.63,503.43
535.0,625.0,590.9,518.63,503.43
546.41,546.41,504.58,518.63,503.43
530.0,530.0,504.58,518.63,503.43
530.0,530.0,586.92,518.63,503.43
516.5,516.5,534.45,518.63,503.43
